"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Receptionists and information clerks","=""43-4171""","Line Item","0.9","0.1","0.1","0.8","0.1","0.1","-0.1","-10.3","708","3"
"Information and record clerks, all other","=""43-4199""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","3.3","710","3"
"Material recording, scheduling, dispatching, and distributing workers","=""43-5000""","Summary","29.0","2.7","1.2","28.3","2.5","1.2","-0.7","-2.4","711","2"
"Dispatchers","=""43-5030""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","-4.3","714","3"
"Dispatchers, except police, fire, and ambulance","=""43-5032""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","-4.3","716","4"
"Production, planning, and expediting clerks","=""43-5061""","Line Item","13.9","1.3","3.5","14.3","1.3","3.5","0.4","3.2","722","3"
"Shipping, receiving, and inventory clerks","=""43-5071""","Line Item","14.9","1.4","1.7","13.8","1.2","1.7","-1.1","-7.6","723","3"
"Weighers, measurers, checkers, and samplers, recordkeeping","=""43-5111""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","-12.9","724","3"
"Secretaries and administrative assistants","=""43-6000""","Summary","10.2","0.9","0.3","8.4","0.8","0.3","-1.8","-17.7","725","2"
"Executive secretaries and executive administrative assistants","=""43-6011""","Line Item","4.2","0.4","0.8","3.2","0.3","0.8","-1.0","-23.5","726","3"
"Secretaries and administrative assistants, except legal, medical, and executive","=""43-6014""","Line Item","6.0","0.5","0.3","5.1","0.5","0.3","-0.8","-13.5","729","3"
"Other office and administrative support workers","=""43-9000""","Summary","8.8","0.8","0.3","7.9","0.7","0.2","-0.8","-9.6","730","2"
"Data entry and information processing workers","=""43-9020""","Summary","0.3","0.0","0.2","0.2","0.0","0.2","-0.1","-29.7","731","3"
"Data entry keyers","=""43-9021""","Line Item","0.3","0.0","0.2","0.2","0.0","0.2","-0.1","-29.7","732","4"
"Desktop publishers","=""43-9031""","Line Item","0.1","0.0","0.8","0.0","0.0","0.6","0.0","-33.8","734","3"
"Mail clerks and mail machine operators, except postal service","=""43-9051""","Line Item","0.1","0.0","0.1","0.0","0.0","0.1","0.0","-9.7","736","3"
"Office clerks, general","=""43-9061""","Line Item","7.5","0.7","0.3","6.9","0.6","0.3","-0.6","-8.1","737","3"
"Office machine operators, except computer","=""43-9071""","Line Item","0.1","0.0","0.4","0.1","0.0","0.4","0.0","-28.6","738","3"
"Office and administrative support workers, all other","=""43-9199""","Line Item","0.6","0.1","0.3","0.6","0.1","0.3","-0.1","-9.1","741","3"
"Construction and extraction occupations","=""47-0000""","Summary","1.6","0.2","0.0","1.7","0.2","0.0","0.0","2.1","763","1"
"Supervisors of construction and extraction workers","=""47-1000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","2.4","764","2"
"First-line supervisors of construction trades and extraction workers","=""47-1011""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","2.4","765","3"
"Construction trades workers","=""47-2000""","Summary","1.5","0.1","0.0","1.6","0.1","0.0","0.0","2.1","766","2"
"Carpenters","=""47-2031""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","-1.3","771","3"
"Electricians","=""47-2111""","Line Item","1.0","0.1","0.1","1.0","0.1","0.1","0.0","1.7","788","3"
"Painters and paperhangers","=""47-2140""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","-1.6","793","3"
"Painters, construction and maintenance","=""47-2141""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","-1.6","794","4"
"Pipelayers, plumbers, pipefitters, and steamfitters","=""47-2150""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","4.8","796","3"
"Plumbers, pipefitters, and steamfitters","=""47-2152""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","4.8","798","4"
"Sheet metal workers","=""47-2211""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","2.9","802","3"
"Installation, maintenance, and repair occupations","=""49-0000""","Summary","30.5","2.8","0.5","33.4","3.0","0.5","2.9","9.7","840","1"
"Supervisors of installation, maintenance, and repair workers","=""49-1000""","Summary","2.3","0.2","0.4","2.4","0.2","0.4","0.1","2.6","841","2"
"First-line supervisors of mechanics, installers, and repairers","=""49-1011""","Line Item","2.3","0.2","0.4","2.4","0.2","0.4","0.1","2.6","842","3"
"Electrical and electronic equipment mechanics, installers, and repairers","=""49-2000""","Summary","5.1","0.5","1.0","5.0","0.4","0.9","-0.1","-1.6","843","2"
"Computer, automated teller, and office machine repairers","=""49-2011""","Line Item","1.0","0.1","1.0","1.0","0.1","1.2","0.0","-0.1","844","3"
"Radio and telecommunications equipment installers and repairers","=""49-2020""","Summary","0.2","0.0","0.1","0.2","0.0","0.1","0.0","-2.6","845","3"
"Radio, cellular, and tower equipment installers and repairers","=""49-2021""","Line Item","0.1","0.0","0.7","0.1","0.0","0.7","0.0","-2.9","846","4"
"Telecommunications equipment installers and repairers, except line installers","=""49-2022""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","-2.3","847","4"
"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers","=""49-2090""","Summary","3.9","0.4","1.6","3.8","0.3","1.6","-0.1","-1.9","848","3"
"Avionics technicians","=""49-2091""","Line Item","0.3","0.0","1.5","0.3","0.0","1.4","0.0","0.9","849","4"
"Electric motor, power tool, and related repairers","=""49-2092""","Line Item","0.1","0.0","0.4","0.1","0.0","0.4","0.0","-0.1","850","4"
"Electrical and electronics repairers, commercial and industrial equipment","=""49-2094""","Line Item","3.3","0.3","6.2","3.2","0.3","6.1","-0.1","-2.2","852","4"
"Vehicle and mobile equipment mechanics, installers, and repairers","=""49-3000""","Summary","0.6","0.1","0.0","0.7","0.1","0.0","0.0","3.1","857","2"
"Aircraft mechanics and service technicians","=""49-3011""","Line Item","0.6","0.1","0.4","0.6","0.1","0.4","0.0","3.7","858","3"
"Other installation, maintenance, and repair occupations","=""49-9000""","Summary","22.4","2.1","0.7","25.4","2.3","0.7","2.9","13.1","876","2"
"Control and valve installers and repairers","=""49-9010""","Summary","0.7","0.1","1.0","0.7","0.1","1.0","0.0","0.6","877","3"
"Control and valve installers and repairers, except mechanical door","=""49-9012""","Line Item","0.7","0.1","1.5","0.7","0.1","1.6","0.0","0.6","879","4"
"Industrial machinery installation, repair, and maintenance workers","=""49-9040""","Summary","10.2","0.9","2.0","12.8","1.1","2.2","2.6","25.9","882","3"
"Industrial machinery mechanics","=""49-9041""","Line Item","9.0","0.8","2.2","11.4","1.0","2.5","2.5","27.5","883","4"
"Maintenance workers, machinery","=""49-9043""","Line Item","1.2","0.1","1.9","1.3","0.1","2.0","0.2","13.9","884","4"
"Precision instrument and equipment repairers","=""49-9060""","Summary","1.1","0.1","1.3","1.1","0.1","1.2","0.0","0.0","890","3"
"Medical equipment repairers","=""49-9062""","Line Item","0.5","0.0","0.8","0.5","0.0","0.7","0.0","0.8","892","4"
"Precision instrument and equipment repairers, all other","=""49-9069""","Line Item","0.5","0.0","4.4","0.5","0.0","4.5","0.0","1.5","895","4"
"Maintenance and repair workers, general","=""49-9071""","Line Item","8.7","0.8","0.5","9.0","0.8","0.5","0.3","3.3","896","3"
"Miscellaneous installation, maintenance, and repair workers","=""49-9090""","Summary","0.9","0.1","0.2","0.9","0.1","0.2","0.0","1.5","898","3"
"Helpers--installation, maintenance, and repair workers","=""49-9098""","Line Item","0.2","0.0","0.2","0.2","0.0","0.2","0.0","1.7","905","4"
"Installation, maintenance, and repair workers, all other","=""49-9099""","Line Item","0.6","0.1","0.3","0.6","0.1","0.3","0.0","1.6","906","4"
"Production occupations","=""51-0000""","Summary","311.8","28.7","3.4","310.7","27.8","3.5","-1.1","-0.4","907","1"
"Supervisors of production workers","=""51-1000""","Summary","24.3","2.2","3.6","25.2","2.3","3.7","1.0","3.9","908","2"
"First-line supervisors of production and operating workers","=""51-1011""","Line Item","24.3","2.2","3.6","25.2","2.3","3.7","1.0","3.9","909","3"
"Assemblers and fabricators","=""51-2000""","Summary","165.5","15.2","8.4","161.4","14.4","8.8","-4.1","-2.5","910","2"
"Aircraft structure, surfaces, rigging, and systems assemblers","=""51-2011""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","-19.1","911","3"
"Electrical, electronics, and electromechanical assemblers","=""51-2020""","Summary","123.9","11.4","42.2","124.4","11.1","40.8","0.5","0.4","912","3"
"Coil winders, tapers, and finishers","=""51-2021""","Line Item","1.2","0.1","10.8","1.0","0.1","11.1","-0.2","-13.9","913","4"
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers","=""51-2028""","Line Item","122.7","11.3","43.4","123.4","11.0","41.7","0.7","0.5","914","4"
"Structural metal fabricators and fitters","=""51-2041""","Line Item","0.3","0.0","0.4","0.2","0.0","0.4","-0.1","-20.0","916","3"
"Fiberglass laminators and fabricators","=""51-2051""","Line Item","0.2","0.0","0.8","0.2","0.0","0.9","0.0","5.6","917","3"
"Timing device assemblers and adjusters","=""51-2061""","Line Item","0.3","0.0","68.4","0.2","0.0","68.0","-0.1","-19.2","918","3"
"Miscellaneous assemblers and fabricators","=""51-2090""","Line Item","40.7","3.7","2.7","36.2","3.2","2.6","-4.5","-10.9","919","3"
"Metal workers and plastic workers","=""51-4000""","Summary","38.9","3.6","2.3","38.9","3.5","2.4","0.0","0.0","931","2"
"Extruding and drawing machine setters, operators, and tenders, metal and plastic","=""51-4021""","Line Item","0.3","0.0","0.5","0.3","0.0","0.5","0.0","-0.4","933","4"
"Rolling machine setters, operators, and tenders, metal and plastic","=""51-4023""","Line Item","0.4","0.0","1.5","0.4","0.0","1.7","0.0","-2.7","935","4"
"Machine tool cutting setters, operators, and tenders, metal and plastic","=""51-4030""","Summary","5.3","0.5","1.7","4.9","0.4","1.8","-0.4","-7.1","936","3"
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic","=""51-4031""","Line Item","1.7","0.2","0.9","1.6","0.1","1.0","-0.1","-6.7","937","4"
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic","=""51-4032""","Line Item","0.7","0.1","11.2","0.6","0.1","11.8","-0.1","-13.5","938","4"
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic","=""51-4033""","Line Item","1.3","0.1","1.7","1.2","0.1","1.8","-0.1","-5.7","939","4"
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic","=""51-4034""","Line Item","0.7","0.1","3.4","0.7","0.1","3.7","0.0","-2.7","940","4"
"Milling and planing machine setters, operators, and tenders, metal and plastic","=""51-4035""","Line Item","0.8","0.1","5.4","0.8","0.1","5.7","-0.1","-8.2","941","4"
"Machinists","=""51-4041""","Line Item","12.0","1.1","3.7","12.3","1.1","3.7","0.3","2.8","942","3"
"Model makers and patternmakers, metal and plastic","=""51-4060""","Summary","0.1","0.0","0.9","0.0","0.0","0.9","0.0","-18.8","946","3"
"Molders and molding machine setters, operators, and tenders, metal and plastic","=""51-4070""","Summary","2.3","0.2","1.3","2.2","0.2","1.3","-0.1","-3.9","949","3"
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic","=""51-4072""","Line Item","2.3","0.2","1.3","2.2","0.2","1.3","-0.1","-3.8","951","4"
"Multiple machine tool setters, operators, and tenders, metal and plastic","=""51-4081""","Line Item","5.9","0.5","4.2","6.0","0.5","4.3","0.1","2.3","952","3"
"Tool and die makers","=""51-4111""","Line Item","1.1","0.1","1.7","1.1","0.1","2.0","0.1","4.8","953","3"
"Welding, soldering, and brazing workers","=""51-4120""","Summary","7.8","0.7","1.7","7.8","0.7","1.7","0.1","0.8","954","3"
"Welders, cutters, solderers, and brazers","=""51-4121""","Line Item","4.8","0.4","1.1","4.9","0.4","1.1","0.2","3.6","955","4"
"Welding, soldering, and brazing machine setters, operators, and tenders","=""51-4122""","Line Item","3.0","0.3","9.2","2.9","0.3","9.6","-0.1","-3.6","956","4"
"Miscellaneous metal workers and plastic workers","=""51-4190""","Summary","3.8","0.3","4.6","3.7","0.3","4.9","-0.1","-2.8","957","3"
"Plating machine setters, operators, and tenders, metal and plastic","=""51-4193""","Line Item","1.9","0.2","5.7","1.8","0.2","6.1","-0.1","-3.0","960","4"
"Metal workers and plastic workers, all other","=""51-4199""","Line Item","0.3","0.0","1.2","0.2","0.0","1.2","0.0","-7.6","962","4"
"Printing workers","=""51-5100""","Summary","0.8","0.1","0.4","0.7","0.1","0.4","-0.1","-12.1","963","2"
"Printing press operators","=""51-5112""","Line Item","0.8","0.1","0.5","0.7","0.1","0.5","-0.1","-12.0","965","3"
"Textile, apparel, and furnishings workers","=""51-6000""","Summary","0.2","0.0","0.0","0.2","0.0","0.0","0.0","-0.5","967","2"
"Woodworkers","=""51-7000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","-4.8","987","2"
"Plant and system operators","=""51-8000""","Summary","1.0","0.1","0.3","1.0","0.1","0.4","0.1","7.6","997","2"
"Water and wastewater treatment plant and system operators","=""51-8031""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","-2.5","1003","3"
"Miscellaneous plant and system operators","=""51-8090""","Summary","0.8","0.1","1.0","0.9","0.1","1.2","0.1","8.9","1004","3"
"Plant and system operators, all other","=""51-8099""","Line Item","0.8","0.1","5.3","0.9","0.1","5.7","0.1","8.9","1008","4"
"Other production occupations","=""51-9000""","Summary","81.1","7.5","3.1","83.1","7.4","3.2","2.1","2.5","1009","2"
"Chemical processing machine setters, operators, and tenders","=""51-9010""","Summary","0.8","0.1","0.5","0.9","0.1","0.5","0.0","2.7","1010","3"
"Chemical equipment operators and tenders","=""51-9011""","Line Item","0.8","0.1","0.7","0.8","0.1","0.7","0.0","2.7","1011","4"
"Crushing, grinding, polishing, mixing, and blending workers","=""51-9020""","Summary","1.1","0.1","0.7","1.1","0.1","0.7","0.0","-1.6","1013","3"
"Crushing, grinding, and polishing machine setters, operators, and tenders","=""51-9021""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","-0.9","1014","4"
"Grinding and polishing workers, hand","=""51-9022""","Line Item","0.3","0.0","1.8","0.2","0.0","1.7","-0.1","-22.1","1015","4"
"Mixing and blending machine setters, operators, and tenders","=""51-9023""","Line Item","0.8","0.1","0.7","0.8","0.1","0.7","0.0","5.0","1016","4"
"Cutting workers","=""51-9030""","Summary","0.2","0.0","0.3","0.2","0.0","0.4","0.0","6.0","1017","3"
"Cutting and slicing machine setters, operators, and tenders","=""51-9032""","Line Item","0.2","0.0","0.4","0.2","0.0","0.4","0.0","7.9","1019","4"
"Inspectors, testers, sorters, samplers, and weighers","=""51-9061""","Line Item","35.2","3.2","5.9","35.7","3.2","6.2","0.5","1.5","1022","3"
"Dental and ophthalmic laboratory technicians and medical appliance technicians","=""51-9080""","Summary","0.2","0.0","0.3","0.2","0.0","0.3","0.0","2.8","1024","3"
"Medical appliance technicians","=""51-9082""","Line Item","0.1","0.0","0.6","0.1","0.0","0.6","0.0","0.8","1026","4"
"Ophthalmic laboratory technicians","=""51-9083""","Line Item","0.1","0.0","0.4","0.1","0.0","0.4","0.0","4.9","1027","4"
"Packaging and filling machine operators and tenders","=""51-9111""","Line Item","2.2","0.2","0.6","2.0","0.2","0.5","-0.2","-9.2","1028","3"
"Painting workers","=""51-9120""","Summary","1.7","0.2","0.9","1.8","0.2","0.9","0.1","4.9","1029","3"
"Coating, painting, and spraying machine setters, operators, and tenders","=""51-9124""","Line Item","1.7","0.2","1.0","1.8","0.2","1.0","0.1","4.9","1031","4"
"Semiconductor processing technicians","=""51-9141""","Line Item","23.2","2.1","94.5","25.2","2.3","94.7","1.9","8.3","1032","3"
"Photographic process workers and processing machine operators","=""51-9151""","Line Item","0.1","0.0","2.2","0.1","0.0","1.7","0.0","-30.8","1033","3"
"Computer numerically controlled tool operators and programmers","=""51-9160""","Summary","7.8","0.7","3.7","7.5","0.7","3.7","-0.3","-4.1","1034","3"
"Computer numerically controlled tool operators","=""51-9161""","Line Item","7.0","0.6","3.8","6.5","0.6","3.9","-0.5","-6.6","1035","4"
"Computer numerically controlled tool programmers","=""51-9162""","Line Item","0.8","0.1","2.9","1.0","0.1","3.0","0.1","17.1","1036","4"
"Miscellaneous production workers","=""51-9190""","Summary","7.6","0.7","1.1","7.8","0.7","1.2","0.2","2.8","1037","3"
"Etchers and engravers","=""51-9194""","Line Item","0.3","0.0","3.4","0.3","0.0","3.7","0.0","8.5","1041","4"
"Molders, shapers, and casters, except metal and plastic","=""51-9195""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","5.2","1042","4"
"Helpers--production workers","=""51-9198""","Line Item","1.5","0.1","0.8","1.4","0.1","0.8","-0.1","-6.8","1045","4"
"Production workers, all other","=""51-9199""","Line Item","5.4","0.5","1.9","5.6","0.5","2.0","0.3","5.0","1046","4"
"Transportation and material moving occupations","=""53-0000""","Summary","26.1","2.4","0.2","26.6","2.4","0.2","0.5","1.9","1047","1"
"Supervisors of transportation and material moving workers","=""53-1000""","Summary","1.9","0.2","0.3","2.0","0.2","0.3","0.1","2.7","1048","2"
"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors","=""53-1047""","Line Item","1.9","0.2","0.3","1.9","0.2","0.3","0.1","2.7","1050","3"
"Air transportation workers","=""53-2000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","1.8","1051","2"
"Aircraft pilots and flight engineers","=""53-2010""","Summary","0.1","0.0","0.1","0.1","0.0","0.1","0.0","1.8","1052","3"
"Commercial pilots","=""53-2012""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","2.3","1054","4"
"Motor vehicle operators","=""53-3000""","Summary","0.7","0.1","0.0","0.7","0.1","0.0","0.0","3.7","1059","2"
"Driver/sales workers and truck drivers","=""53-3030""","Summary","0.7","0.1","0.0","0.7","0.1","0.0","0.0","3.7","1061","3"
"Heavy and tractor-trailer truck drivers","=""53-3032""","Line Item","0.2","0.0","0.0","0.2","0.0","0.0","0.0","1.3","1063","4"
"Light truck drivers","=""53-3033""","Line Item","0.5","0.0","0.0","0.6","0.0","0.0","0.0","4.4","1064","4"
"Material moving workers","=""53-7000""","Summary","23.4","2.2","0.3","23.8","2.1","0.3","0.4","1.8","1095","2"
"Industrial truck and tractor operators","=""53-7051""","Line Item","1.5","0.1","0.2","1.5","0.1","0.2","0.0","-0.4","1100","3"
"Laborers and material movers","=""53-7060""","Summary","21.8","2.0","0.3","22.3","2.0","0.3","0.4","1.9","1101","3"
"Cleaners of vehicles and equipment","=""53-7061""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","0.3","1102","4"
"Laborers and freight, stock, and material movers, hand","=""53-7062""","Line Item","12.1","1.1","0.4","12.4","1.1","0.4","0.2","2.1","1103","4"
"Machine feeders and offbearers","=""53-7063""","Line Item","0.2","0.0","0.3","0.2","0.0","0.3","0.0","8.6","1104","4"
"Packers and packagers, hand","=""53-7064""","Line Item","2.8","0.3","0.4","2.7","0.2","0.4","-0.1","-2.4","1105","4"
"Stockers and order fillers","=""53-7065""","Line Item","6.7","0.6","0.2","6.9","0.6","0.2","0.2","3.2","1106","4"
